,dataset,missingness,method,MinMAE,AvgMAE,PercentBias,CoverageRate,W_train,W_test,MeanVariance,MeanMAD,MedianMAD,R2_imp,F1_imp,time,R2_lin,F1_lin,R2_linboost,F1_linboost,R2_tree,F1_tree,R2_treeboost,F1_treeboost
118,connectionist_bench_sonar,MCAR(0.2),ice,0.1032270826,0.1350353401,0.0,0.0,1.62250324,8.771376297,0.0141,0.465,0.430228304,0.0,0.8006814278,14.57604758,0.0,0.7259674676,0.0,0.8244117001,0.0,0.821387012,0.0,0.8309595315
119,connectionist_bench_sonar,MCAR(0.2),OT,0.09783116231,0.1202683889,0.0,0.0,1.444582949,8.492449425,0.00637,0.233,0.2132255269,0.0,0.804,380.2452658,0.0,0.7508826882,0.0,0.840614654,0.0,0.8284857895,0.0,0.7979630145
120,connectionist_bench_sonar,MCAR(0.2),softimpute,0.09109937839,0.09109937839,0.0,0.0,1.094731751,8.351240572,3.12e-34,1.53e-16,0.0,0.0,0.7936125338,29.6,0.0,0.6810713118,0.0,0.8535304291,0.0,0.8229983927,0.0,0.8168500015
121,connectionist_bench_sonar,MCAR(0.2),GAIN,0.2049853884,0.2055865502,0.0,0.0,2.467964183,9.401353487,2.44e-06,0.00513,0.004773189222,0.0,0.7793474423,23.8,0.0,0.7070640094,0.0,0.8111970406,0.0,0.8040539614,0.0,0.7950747579
122,ionosphere,MCAR(0.2),oracle,0.0,0.0,0.0,0.0,0.0,4.417807475,8.52e-34,2.23e-16,0.0,0.0,0.9129495335,5.56e-06,0.0,0.8506690212,0.0,0.9387153881,0.0,0.9399530096,0.0,0.922460715
123,ionosphere,MCAR(0.2),KNN(n_neighbors=1),0.1147075467,0.1147075467,0.0,0.0,0.7617813823,4.348497706,1.12e-33,2.36e-16,0.0,0.0,0.9109139976,0.02546230952,0.0,0.8546399607,0.0,0.9285164367,0.0,0.9421678724,0.0,0.9183317208
124,ionosphere,MCAR(0.2),MissForest,0.09853594629,0.1078070391,0.0,0.0,0.7160471712,4.335254526,0.0008013537631,0.06606705027,0.06037841739,0.0,0.9014387425,201.7074285,0.0,0.8381150837,0.0,0.9032025689,0.0,0.9404842914,0.0,0.9239530258
125,ionosphere,MCAR(0.2),miceforest,0.09490463222,0.1223514028,0.0,0.0,0.8125843432,4.417580749,0.005347293713,0.2384036107,0.2120643052,0.0,0.9047890812,147.24509,0.0,0.8457969198,0.0,0.9144853044,0.0,0.9360964735,0.0,0.9227776272
126,ionosphere,MCAR(0.2),ice,0.1322969553,0.1844551801,0.0,0.0,1.22533864,4.710465973,0.02122808359,0.556,0.5102189852,0.0,0.8940262167,4.936282237,0.0,0.8346874909,0.0,0.8966801825,0.0,0.9332176381,0.0,0.9115195552
127,ionosphere,MCAR(0.2),OT,0.1051422744,0.1173402162,0.0,0.0,0.7795672921,4.371648716,0.0009339928163,0.08991413217,0.08276455541,0.0,0.9049358353,315.1876522,0.0,0.8495371217,0.0,0.9137351675,0.0,0.9417802287,0.0,0.9146908234
128,ionosphere,MCAR(0.2),softimpute,0.1420632967,0.1420632967,0.0,0.0,0.9438417569,4.436460325,9.04e-34,2.3e-16,0.0,0.0,0.8980545708,18.62288729,0.0,0.8427904782,0.0,0.8976074632,0.0,0.9331569789,0.0,0.9186633628
129,ionosphere,MCAR(0.2),GAIN,0.1558057915,0.1568371052,0.0,0.0,1.041555471,4.545378049,4.04e-06,0.00705,0.006545106389,0.0,0.904,16.57572373,0.0,0.8292844283,0.0,0.9263807669,0.0,0.9417518679,0.0,0.9169788677
130,qsar_biodegradation,MCAR(0.2),oracle,0.0,0.0,0.0,0.0,0.0,1.37611821,1.2599999999999999e-34,4.79e-17,0.0,0.0,0.8512666078,5.32e-06,0.0,0.8555204561,0.0,0.8302144943,0.0,0.8621689851,0.0,0.8571624959
131,qsar_biodegradation,MCAR(0.2),KNN(n_neighbors=1),0.03182994722,0.03182994722,0.0,0.0,0.2622067578,1.408999791,1.0699999999999999e-34,4.67e-17,0.0,0.0,0.8465633538,0.0995,0.0,0.8569943104,0.0,0.8232616339,0.0,0.8554384306,0.0,0.8505590402
132,qsar_biodegradation,MCAR(0.2),MissForest,0.01794883925,0.02059195037,0.0,0.0,0.1697437188,1.396148459,0.000117,0.0159,0.01432619702,0.0,0.8499824044,320.3665237,0.0,0.845377542,0.0,0.8351794956,0.0,0.8598319391,0.0,0.859540641
133,qsar_biodegradation,MCAR(0.2),miceforest,0.01326508127,0.02184180158,0.0,0.0,0.1800617606,1.396038216,0.000918,0.0552,0.04639279895,0.0,0.8526716829,209.036609,0.0,0.8523613695,0.0,0.8407404123,0.0,0.8605720786,0.0,0.8570128712
134,qsar_biodegradation,MCAR(0.2),ice,0.03629732764,0.06338623267,0.0,0.0,0.5218031815,1.612791249,0.008018163324,0.2550872932,0.2213984888,0.0,0.8488528533,21.25204945,0.0,0.8497598128,0.0,0.8359192599,0.0,0.857057582,0.0,0.8526747585
135,qsar_biodegradation,MCAR(0.2),OT,0.06315449243,0.07475865469,0.0,0.0,0.6161885814,1.648433334,0.001218647705,0.07791062393,0.06707822326,0.0,0.8430100999,262.85937,0.0,0.8279074837,0.0,0.8243836318,0.0,0.8608808409,0.0,0.858868443
136,qsar_biodegradation,MCAR(0.2),softimpute,0.06001559957,0.06001559957,0.0,0.0,0.494784714,1.583516958,9.33e-35,4.68e-17,0.0,0.0,0.8362557856,49.80279533,0.0,0.8442829469,0.0,0.8123549394,0.0,0.8459804871,0.0,0.8424047691
137,qsar_biodegradation,MCAR(0.2),GAIN,0.0433905315,0.04420421642,0.0,0.0,0.364082721,1.470272153,7.82e-05,0.004552062572,0.00408546488,0.0,0.848913455,18.98753436,0.0,0.8391379524,0.0,0.8335065194,0.0,0.8619338419,0.0,0.8610755063
138,seeds,MCAR(0.2),oracle,0.0,0.0,0.0,0.0,0.0,0.4597781875,4.22e-34,1.18e-16,0.0,0.0,0.8711821463,5.25e-06,0.0,0.936659665,0.0,0.6485722286,0.0,0.9634046442,0.0,0.9360920476
139,seeds,MCAR(0.2),KNN(n_neighbors=1),0.08315561028,0.08315561028,0.0,0.0,0.1087046374,0.4637309475,5.35e-34,1.24e-16,0.0,0.0,0.854,0.003782510757,0.0,0.9285410205,0.0,0.631950729,0.0,0.9346457771,0.0,0.9199612648
140,seeds,MCAR(0.2),MissForest,0.04506953933,0.05359498604,0.0,0.0,0.07094477838,0.4524566384,0.000124,0.0353,0.03216755478,0.0,0.8552212376,26.5,0.0,0.9414283999,0.0,0.5702483987,0.0,0.955458836,0.0,0.9537493158
141,seeds,MCAR(0.2),miceforest,0.03521914645,0.05974640152,0.0,0.0,0.07898612885,0.4560089144,0.00125,0.121,0.110216695,0.0,0.8660465985,19.1,0.0,0.9456931716,0.0,0.6145646335,0.0,0.958259151,0.0,0.9456694377
142,seeds,MCAR(0.2),ice,0.07411562126,0.1761601789,0.0,0.0,0.2309334611,0.5664604638,0.0366,0.739,0.6817964291,0.0,0.9117481659,0.9293239911,0.0,0.9487989558,0.0,0.8259263011,0.0,0.9310231703,0.0,0.9412442361
143,seeds,MCAR(0.2),OT,0.05446436384,0.081649129,0.0,0.0,0.1075336701,0.4644914646,0.00178,0.12,0.109321056,0.0,0.8566117129,323.355269,0.0,0.936487758,0.0,0.6078288127,0.0,0.9459183161,0.0,0.9362119646
144,seeds,MCAR(0.2),softimpute,0.1129703883,0.1129703883,0.0,0.0,0.1495543302,0.5099662074,5.65e-34,1.24e-16,0.0,0.0,0.8550711836,1.794123411,0.0,0.96046108,0.0,0.5802199132,0.0,0.9427417481,0.0,0.9368619932
145,seeds,MCAR(0.2),GAIN,0.07771585508,0.07916065455,0.0,0.0,0.1048217158,0.467221887,2.56e-06,0.005544949615,0.005113766319,0.0,0.8741780646,9.254815022,0.0,0.9382310608,0.0,0.6382823006,0.0,0.9583387335,0.0,0.9618601634
146,glass,MCAR(0.2),oracle,0.0,0.0,0.0,0.0,0.0,0.6305955746,2.33e-34,7.36e-17,0.0,0.0,0.6205299257,5.32e-06,0.0,0.5611093415,0.0,0.4344818638,0.0,0.7354191386,0.0,0.7511093587
147,glass,MCAR(0.2),KNN(n_neighbors=1),0.08389092473,0.08389092473,0.0,0.0,0.1421608633,0.6463414637,2.76e-34,7.58e-17,0.0,0.0,0.5617051702,0.004852612813,0.0,0.5588551903,0.0,0.2795428337,0.0,0.6881531977,0.0,0.7202694591
148,glass,MCAR(0.2),MissForest,0.05786449453,0.0681293218,0.0,0.0,0.1178588587,0.6348514968,0.000331,0.0432,0.0392,0.0,0.6214856094,31.28890649,0.0,0.5992620448,0.0,0.3775334466,0.0,0.7708262019,0.0,0.7383207443
149,glass,MCAR(0.2),miceforest,0.04558138189,0.07897432376,0.0,0.0,0.1350419459,0.6405579548,0.00371,0.169,0.149,0.0,0.57,19.87213508,0.0,0.5819268389,0.0,0.2848701894,0.0,0.6991280194,0.0,0.7133130616
150,glass,MCAR(0.2),ice,0.1499586411,0.3219422453,0.0,0.0,0.552055502,0.9771445599,0.102,1.29,1.12289332,0.0,0.4880246307,1.16,0.0,0.465609443,0.0,0.2797116828,0.0,0.5783013916,0.0,0.6284760055
151,glass,MCAR(0.2),OT,0.06441983809,0.09580227774,0.0,0.0,0.1659773544,0.6588950332,0.00691,0.173,0.1568656552,0.0,0.5563447711,427.0,0.0,0.5883340666,0.0,0.3123057449,0.0,0.6743288515,0.0,0.6504104215
152,glass,MCAR(0.2),softimpute,0.1851621878,0.1851621878,0.0,0.0,0.3226758569,0.8053917167,9.89e-35,7.08e-17,0.0,0.0,0.5652310377,2.090054194,0.0,0.5679070661,0.0,0.3060471017,0.0,0.6903205418,0.0,0.6966494411
153,glass,MCAR(0.2),GAIN,0.088616812,0.09012284982,0.0,0.0,0.1568707889,0.6658967599,3.41e-06,0.00646,0.005978105253,0.0,0.5568191791,14.09122276,0.0,0.6051364696,0.0,0.1925388754,0.0,0.7089581874,0.0,0.7206431837
154,ecoli,MCAR(0.2),oracle,0.0,0.0,0.0,0.0,0.0,0.4013585467,4.84e-34,1.35e-16,0.0,0.0,0.7322560453,4.85e-06,0.0,0.8429672979,0.0,0.458974669,0.0,0.8269753021,0.0,0.8001069122
155,ecoli,MCAR(0.2),KNN(n_neighbors=1),0.1025427095,0.1025427095,0.0,0.0,0.1314005068,0.4166758545,4.9099999999999994e-34,1.37e-16,0.0,0.0,0.7178671479,0.00683705012,0.0,0.8367923402,0.0,0.4915734522,0.0,0.7972436982,0.0,0.7458591011
156,ecoli,MCAR(0.2),MissForest,0.06418846223,0.07557486515,0.0,0.0,0.1026682873,0.4016833087,0.000311,0.0488,0.0446,0.0,0.6562859708,23.80286749,0.0,0.7373525684,0.0,0.4128748355,0.0,0.7580480383,0.0,0.7168684409
157,ecoli,MCAR(0.2),miceforest,0.05570296766,0.09712357884,0.0,0.0,0.1277304217,0.4131001501,0.004670181498,0.1973844737,0.179,0.0,0.6557966992,26.09344975,0.0,0.7816496749,0.0,0.3766969947,0.0,0.7459351082,0.0,0.7189050189
158,ecoli,MCAR(0.2),ice,0.0664465176,0.149498039,0.0,0.0,0.195352047,0.4709680917,0.0197,0.517,0.4753796315,0.0,0.6914167836,0.8986795743,0.0,0.8210652904,0.0,0.4303294068,0.0,0.7730925844,0.0,0.7411798529
159,ecoli,MCAR(0.2),OT,0.06279119824,0.0955946148,0.0,0.0,0.1270123667,0.4218336217,0.00248,0.153,0.1399682557,0.0,0.675,406.337968,0.0,0.7467218483,0.0,0.4217645839,0.0,0.7835264497,0.0,0.7490161675
